LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,TotRmsAbvGrd,YrSold,SalePrice,LotArea_scaled,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
8450,5.0,2Story,6.0,4.0,2003,Gable,CompShg,8,2008,208500,0.03341980415527355,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
9600,24.0,1Story,5.0,7.0,1976,Gable,CompShg,6,2007,181500,0.03879501741101685,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
11250,5.0,2Story,6.0,4.0,2001,Gable,CompShg,6,2008,223500,0.04650727990838767,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
9550,6.0,2Story,6.0,4.0,1915,Gable,CompShg,7,2006,140000,0.0385613124868541,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
14260,15.0,2Story,7.0,4.0,2000,Gable,CompShg,9,2008,250000,0.06057631634298535,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
14115,11.0,1.5Fin,4.0,4.0,1993,Gable,CompShg,5,2009,143000,0.05989857206291336,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
10084,21.0,1Story,7.0,4.0,2004,Gable,CompShg,7,2007,307000,0.04105728107691229,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
10382,14.0,2Story,6.0,5.0,1973,Gable,CompShg,7,2009,200000,0.04245016242492229,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
6120,17.0,1.5Fin,6.0,4.0,1931,Gable,CompShg,8,2008,129900,0.022529154689289302,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False
7420,3.0,1.5Unf,4.0,5.0,1939,Gable,CompShg,5,2008,118000,0.028605482717520857,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
11200,19.0,1Story,4.0,4.0,1965,Hip,CompShg,5,2008,129500,0.046273574984224915,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
11924,16.0,2Story,8.0,4.0,2005,Hip,CompShg,11,2006,345000,0.049657622286101565,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
12968,19.0,1Story,4.0,5.0,1962,Hip,CompShg,4,2008,144000,0.05453738110261983,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False
10652,5.0,1Story,6.0,4.0,2006,Gable,CompShg,7,2007,279500,0.043712169015401155,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
10920,12.0,1Story,5.0,4.0,1960,Hip,CompShg,5,2008,157000,0.044964827408913506,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
6120,3.0,1.5Unf,6.0,7.0,1929,Gable,CompShg,5,2007,132000,0.022529154689289302,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
11241,12.0,1Story,5.0,6.0,1970,Gable,CompShg,5,2010,149000,0.04646521302203837,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
10791,19.0,1Story,3.0,4.0,1967,Gable,CompShg,6,2006,90000,0.04436186870457361,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
13695,20.0,1Story,4.0,4.0,2004,Gable,CompShg,6,2008,159000,0.057935450699946246,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
7560,12.0,1Story,4.0,5.0,1958,Hip,CompShg,6,2009,139000,0.02925985650517656,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
14215,16.0,2Story,7.0,4.0,2005,Gable,CompShg,9,2006,325300,0.06036598191123887,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
7449,9.0,1.5Unf,6.0,6.0,1930,Gable,CompShg,6,2007,139400,0.028741031573535254,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
9742,5.0,1Story,7.0,4.0,2002,Hip,CompShg,7,2008,230000,0.03945873939563906,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
4224,10.0,1Story,4.0,6.0,1976,Gable,CompShg,6,2007,129900,0.013667063965037744,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
8246,19.0,1Story,4.0,7.0,1968,Gable,CompShg,6,2010,154000,0.03246628806468952,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
14230,16.0,1Story,7.0,4.0,2007,Gable,CompShg,7,2009,256300,0.06043609338848769,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
7200,12.0,1Story,4.0,6.0,1951,Gable,CompShg,5,2010,134800,0.027577181051204748,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
11478,16.0,1Story,7.0,4.0,2007,Gable,CompShg,7,2010,306000,0.04757297436256982,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
16321,12.0,1Story,4.0,5.0,1957,Gable,CompShg,6,2006,207500,0.070209633316974,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
6324,3.0,1Story,3.0,5.0,1927,Gable,CompShg,4,2008,68500,0.02348267077987333,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
8500,9.0,2Story,3.0,3.0,1920,Gambrel,CompShg,6,2008,40000,0.0336535090794363,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
8544,19.0,1Story,4.0,5.0,1966,Gable,CompShg,6,2008,149350,0.03385916941269952,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
11049,5.0,1Story,7.0,4.0,2007,Gable,CompShg,7,2008,179900,0.045567786113253406,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
10552,12.0,1Story,4.0,4.0,1959,Hip,CompShg,6,2010,165500,0.043244759167075646,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
7313,16.0,1Story,8.0,4.0,2005,Hip,CompShg,6,2007,277500,0.028105354179812567,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
13418,16.0,2Story,7.0,4.0,2004,Gable,CompShg,9,2006,309000,0.0566407254200846,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
10859,5.0,1Story,4.0,4.0,1994,Gable,CompShg,6,2009,145000,0.04467970740143495,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
8532,12.0,1Story,4.0,5.0,1954,Hip,CompShg,5,2009,153000,0.033803080230900465,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
7922,12.0,1Story,4.0,6.0,1953,Gable,CompShg,5,2010,109000,0.030951880156114886,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
6040,7.0,1Story,3.0,4.0,1955,Gable,CompShg,6,2008,82000,0.022155226810628897,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False
8658,12.0,1Story,5.0,4.0,1965,Gable,CompShg,6,2006,160000,0.0343920166397906,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
16905,23.0,1Story,4.0,5.0,1959,Gable,CompShg,5,2007,170000,0.07293930683119493,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
9180,20.0,SFoyer,4.0,6.0,1983,Gable,CompShg,5,2007,144000,0.036831896048049734,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
9200,5.0,1Story,4.0,5.0,1975,Hip,CompShg,5,2008,130250,0.03692537801771483,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
7945,12.0,1Story,4.0,5.0,1959,Gable,CompShg,6,2006,141000,0.031059384421229755,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
7658,16.0,1Story,8.0,4.0,2005,Hip,CompShg,6,2010,319900,0.029717918156535558,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
12822,11.0,1.5Fin,6.0,4.0,2003,Gable,CompShg,6,2009,239686,0.05385496272406459,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
11096,21.0,1Story,7.0,4.0,2006,Gable,CompShg,7,2007,249700,0.04578746874196639,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
4456,17.0,2Story,3.0,4.0,1920,Gable,CompShg,8,2009,113000,0.014751454813152914,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
7742,19.0,1Story,4.0,6.0,1966,Gable,CompShg,6,2007,127000,0.03011054242912898,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
13869,8.0,2Story,5.0,5.0,1997,Gable,CompShg,6,2007,177000,0.05874874383603262,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False
6240,3.0,1.5Fin,5.0,5.0,1934,Gable,CompShg,6,2006,114500,0.02309004650727991,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
8472,9.0,1Story,4.0,4.0,1963,Gable,CompShg,5,2010,110000,0.03352263432190516,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
50271,24.0,1Story,8.0,4.0,1981,Gable,WdShngl,5,2006,385000,0.22889527682348268,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
7134,12.0,SLvl,4.0,4.0,1955,Gable,CompShg,6,2007,130000,0.027268690551309913,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
10175,12.0,1Story,5.0,4.0,1964,Gable,CompShg,7,2008,180500,0.0414826240388885,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
2645,21.0,2Story,7.0,4.0,1999,Gable,CompShg,7,2009,172500,0.0062866624599780315,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
11645,5.0,2Story,6.0,4.0,2004,Gable,CompShg,7,2006,196500,0.04835354880927341,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
13682,22.0,2Story,9.0,4.0,2006,Hip,CompShg,10,2006,438780,0.05787468741966393,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True
7200,5.0,1Story,4.0,6.0,1972,Gable,CompShg,4,2008,124900,0.027577181051204748,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
13072,20.0,1Story,5.0,4.0,2004,Gable,CompShg,5,2006,158000,0.05502348734487835,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
7200,9.0,2.5Unf,4.0,6.0,1920,Gable,CompShg,6,2007,101000,0.027577181051204748,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
6442,16.0,1Story,7.0,4.0,2006,Gable,CompShg,6,2007,202500,0.024034214400897425,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
10300,17.0,2Story,6.0,5.0,1921,Gable,CompShg,9,2010,140000,0.042066886349295375,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
9375,5.0,2Story,6.0,4.0,1997,Gable,CompShg,8,2009,219500,0.03774334525228446,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
9591,16.0,2Story,7.0,4.0,2004,Gable,CompShg,9,2007,317000,0.038752950524667554,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
